DESCRIPCION;MARCA;MODELO
MONOLEC ULTRA ENGINE OIL, ACEITE ULTRA.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA.;LE XPORT;8800-PL
MONOLEC ULTRA ENGINE OIL, ACEITE ULTRA.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA.;LE XPORT;8800-PL
MONOLEX PENETRATING OIL & LUBE, ACEITE PENETRANTE Y LUBRICANTE.- CAJA CONTIENE 12 FRASCOS AEROSOL DE 10.25 ONZAS;LE XPORT;2059-CSA
H1 QUINPLEX PEN. OIL & LUBE, ACEITE Y LUBRICANTE PENETRANTE.- CAJA CONTIENE 12 FRASCOS AEROSOL DE 12 ONZAS.;LE XPORT;4059-CSA
MONOLEC R&O COMPRESSOR/TURBINE, ACEITE PARA COMPRESOR Y TURBINAS.- EN PRESENTACION DE CUBETAS DE 18.9 LITROS CADA UNA;LE XPORT;6401-PL
MONOLEC R&O COMPRESSOR/TURBINE, ACEITE PARA COMPRESOR Y TURBINAS.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6404-PL
MONOLEC R&O COMPRESSOR/TURBINE, ACEITE PARA COMPRESOR Y TURBINAS.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6406-PL
MONOLEC R&O COMPRESSOR/TURBINE, ACEITE PARA COMPRESOR Y TURBINAS.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6401-PL
MONOLEC R&O COMPRESSOR/TURBINE, ACEITE PARA COMPRESOR Y TURBINAS.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6403-PL
MONOLEC R&O COMPRESSOR/TURBINE, ACEITE PARA COMPRESOR Y TURBINAS.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6404-PL
MULTILEC INDUSTRIAL OIL, ACEITE PARA USO INDUSTRIAL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6803-PL
QUINPLEX H1 PENETRATING LUBE, ACEITE Y LUBRICANTE.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA.;LE XPORT;4058-PL
DUOLEC INDUSTRIAL GEAR OIL, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1605-PL
DUOLEC INDUSTRIAL GEAR OIL, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1606-PL
DUOLEC INDUSTRIAL GEAR OIL, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1607-PL
DUOLEC INDUSTRIAL GEAR OIL, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1605-PL
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINOFAA;YAMALUBE;S/M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINOFAA;YAMALUBE;S/M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINOFAA;YAMALUBE;S/M
LUBRICANTE Y SILICONE YAMALUBE 10.5OZ 29 PARTE NUMERO ACCSLCNSPRAY;YAMALUBE;S/M
ACEITE ENGRANAJE MARINO YAMALUBE 10 OZ PARTE NUMERO ACCGEARLUB10;YAMALUBE;S/M
ACEITE ENGRANAJE MARINO YAMALUBE 10 OZ PARTE NUMERO ACCGEARLUB10;YAMALUBE;S/M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINONAA;YAMALUBE;S/M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINONAA;YAMALUBE;S/M
